,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
119,0.9229644298553467,0.1304134032782636,0.03756532669067383,0.019068994084038088,15,2,10,250,"{'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 250}",0.9666666666666667,0.9809523809523809,0.9760765550239234,0.9665071770334929,0.9569377990430622,0.9694281157439052,0.008356744924896265,69,0.9713261648745519,0.972520908004779,0.9725536992840096,0.9749403341288783,0.977326968973747,0.9737336150531932,0.0021460214023286683
120,0.2262580394744873,0.06134168246099208,0.017985057830810548,0.01791334732125737,15,4,2,50,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.8857142857142857,0.9666666666666667,0.9282296650717703,0.9234449760765551,0.9138755980861244,0.9235862383230804,0.026100137936317488,153,0.9044205495818399,0.951015531660693,0.9260143198090692,0.9307875894988067,0.9427207637231504,0.9309917508547118,0.01593340377565834
121,0.29384894371032716,0.016694131671974945,0.014397048950195312,0.0011742863326264057,15,4,2,100,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.8809523809523809,0.9523809523809523,0.9282296650717703,0.9234449760765551,0.937799043062201,0.9245614035087719,0.023939974109542975,145,0.9115890083632019,0.9522102747909199,0.9212410501193318,0.9105011933174224,0.9618138424821002,0.9314710738145953,0.02140319540176634
122,0.46449689865112304,0.00877449097014888,0.021319150924682617,0.003615602840074627,15,4,2,150,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}",0.9142857142857143,0.9619047619047619,0.9425837320574163,0.9090909090909091,0.937799043062201,0.9331328320802005,0.019350167396276586,121,0.929510155316607,0.954599761051374,0.9212410501193318,0.905727923627685,0.9618138424821002,0.9345785465194197,0.020873649505333453
123,0.7467427253723145,0.07817147022578608,0.03506917953491211,0.006478633008790181,15,4,2,200,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.8904761904761904,0.9523809523809523,0.9521531100478469,0.9234449760765551,0.9090909090909091,0.9255092276144907,0.024220330599453645,141,0.9115890083632019,0.9414575866188769,0.9439140811455847,0.9009546539379475,0.9463007159904535,0.9288432092112128,0.018796261348076305
124,0.9351163864135742,0.09518872702879531,0.03463029861450195,0.0047643106978602755,15,4,2,250,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 250}",0.8904761904761904,0.9571428571428572,0.9569377990430622,0.9282296650717703,0.9425837320574163,0.9350740487582593,0.024727578832879415,115,0.9163679808841099,0.9498207885304659,0.9486873508353222,0.9069212410501193,0.9630071599045346,0.9369609042409103,0.021483684343065804
125,0.15624704360961914,0.012805587626066952,0.010219192504882813,0.0011336508314862186,15,4,5,50,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.8857142857142857,0.9666666666666667,0.9282296650717703,0.9234449760765551,0.9138755980861244,0.9235862383230804,0.026100137936317488,153,0.9044205495818399,0.951015531660693,0.9260143198090692,0.9307875894988067,0.9427207637231504,0.9309917508547118,0.01593340377565834
126,0.30478606224060056,0.011930400763402791,0.012496232986450195,0.0033297045903585175,15,4,5,100,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.8809523809523809,0.9523809523809523,0.9282296650717703,0.9234449760765551,0.937799043062201,0.9245614035087719,0.023939974109542975,145,0.9115890083632019,0.9522102747909199,0.9212410501193318,0.9105011933174224,0.9618138424821002,0.9314710738145953,0.02140319540176634
127,0.41504721641540526,0.018592159850791976,0.017099380493164062,0.001068255796294651,15,4,5,150,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 150}",0.9142857142857143,0.9619047619047619,0.9425837320574163,0.9090909090909091,0.937799043062201,0.9331328320802005,0.019350167396276586,121,0.929510155316607,0.954599761051374,0.9212410501193318,0.905727923627685,0.9618138424821002,0.9345785465194197,0.020873649505333453
128,0.5447789669036865,0.012722299431442185,0.02285165786743164,0.002673634860257085,15,4,5,200,"{'max_depth': 15, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.8904761904761904,0.9523809523809523,0.9521531100478469,0.9234449760765551,0.9090909090909091,0.9255092276144907,0.024220330599453645,141,0.9115890083632019,0.9414575866188769,0.9439140811455847,0.9009546539379475,0.9463007159904535,0.9288432092112128,0.018796261348076305
